id,name_id,desc_id,name,desc,orthodoxy_id,member_act_style,alignment,weight,preferred_weapon,effects,rank_names,color,rule_id,rule_desc_id
,名称ID,描述ID,,宗门名称与描述,道统ID(dao/buddhism/confucianism/wu),宗门成员行事风格,阵营(正/中立/邪),权重(默认1),倾向兵器类型,effects(JSON形式，支持宽松格式，见effects.py说明),自定义职位(掌门;长老;内门;外门),门派颜色,门规规则ID,门规描述ID
1,SECT_1_NAME,SECT_1_DESC,凌霄剑宗,凌霄剑宗坐落于绝云峰群，山门、剑阁与试剑台层层高起，终年罡风呼啸，越往上越考验剑修心志。宗内以御剑、雷剑、养剑诸脉并立，弟子晨昏皆需登崖问剑，在剑碑前印证所得。这里崇尚锋锐与纯粹，重视名声，也重视个人悟性，常有一战成名的天才，也常有困于执念的孤高之士。,,SECT_1_STYLE,RIGHTEOUS,1,SWORD,"{extra_battle_strength_points: 3, extra_weapon_proficiency_gain: 0.5}",,#4DD0E1,righteous_orthodoxy,SECT_1_RULE_DESC
2,SECT_2_NAME,SECT_2_DESC,万兽魔山,万兽魔山深藏十万大山腹地，九十九层洞天圈养着自低阶灵兽到凶煞妖王的庞大兽群，兽栏、血食场与契灵坛终日不得安静。宗内弟子多分驭兽、育兽、炼血三路，有人将妖兽视作伙伴，也有人只当作可消耗的战力。山门氛围原始而强横，讲究以实力压服万兽，也讲究从兽性中磨出自己的生存法则。,,SECT_2_STYLE,EVIL,1,WHIP,"{extra_catch_success_rate: 0.25, extra_hunt_materials: 1}",SECT_2_RANK_PATRIARCH;SECT_2_RANK_ELDER;SECT_2_RANK_INNER;SECT_2_RANK_OUTER,#8D6E63,evil_sect_loyalty,SECT_2_RULE_DESC
3,SECT_3_NAME,SECT_3_DESC,听涛阁,听涛阁立于静海涯绝壁之上，寒冰灵玉筑成的楼阁映着海潮与星辉，阁中最重要的并非兵刃，而是观海玉璧、观潮台与推演星盘。弟子多习观星、听潮、问卦诸法，平日寡言少动，却善于从风向、潮声和人心细微处窥见变化。此地气氛清冷疏离，人人都像隔着一层雾看世界，因此既有超然物外的高士，也有被天机牵引太深的偏执之人。,,SECT_3_STYLE,NEUTRAL,1,FAN,"{extra_observation_radius: 2, extra_fortune_probability: 0.002, extra_refine_success_rate: 0.05}",SECT_3_RANK_PATRIARCH;SECT_3_RANK_ELDER;SECT_3_RANK_INNER;SECT_3_RANK_OUTER,#4FC3F7,neutral_secrecy,SECT_3_RULE_DESC
4,SECT_4_NAME,SECT_4_DESC,九幽黄泉道,九幽黄泉道盘踞死寂海群岛，山门间建有引魂殿、渡魂桥、镇尸窟与幽灯长廊，海雾终年不散，来去都像行走在生死缝隙之间。宗内有炼魂、渡死、阴术诸脉，弟子修行时常与亡魂、尸傀、阴河之气为伴，对生死轮转有着异于常人的理解。这里秩序森然、气氛幽冷，门人多半沉默克制，却也因此容易养出极端冷静、将万物都视作代价的心性。,,SECT_4_STYLE,EVIL,1,FAN,"{extra_breakthrough_success_rate: 0.1, extra_retreat_success_rate: 0.1}",SECT_4_RANK_PATRIARCH;SECT_4_RANK_ELDER;SECT_4_RANK_INNER;SECT_4_RANK_OUTER,#7E57C2,evil_sect_loyalty,SECT_4_RULE_DESC
5,SECT_5_NAME,SECT_5_DESC,千机诡门,千机诡门藏身千机谷深处，外看楼台精巧华丽，内里却遍布机关廊、傀儡坊、毒械库与暗道密室，一砖一瓦都可能藏着杀机。门中弟子大致分为机关师、傀儡师、毒师与潜行客，既要懂制造，也要懂伏击，还得学会在无声处保全自己。这里推崇效率、隐秘与结果，合作往往建立在共同利益之上，因此最容易孕育精于算计的天才，也最常出现彼此试探的复杂关系。,,SECT_5_STYLE,EVIL,1,HIDDEN_WEAPON,"{extra_assassinate_success_rate: 0.15, extra_battle_strength_points: 1, extra_cast_success_rate: 0.05}",SECT_5_RANK_PATRIARCH;SECT_5_RANK_ELDER;SECT_5_RANK_INNER;SECT_5_RANK_OUTER,#4CAF50,evil_sect_loyalty,SECT_5_RULE_DESC
6,SECT_6_NAME,SECT_6_DESC,醉梦楼,醉梦楼建于闹市洞天之中，香阁、水榭、乐坊与幻梦池彼此相连，白日歌舞不断，夜里灯火如霞，表面像人间最奢华的销金窟。楼中修行并不只靠双修，还重香道、音律、舞法、谈判与察言观色，弟子往往兼修魅术、乐术与情报手段。这里最擅长把红尘欲望化为修行资粮，也最懂人情冷热，因此门人既可能活得玲珑通透，也可能在真假情意之间越陷越深。,,SECT_6_STYLE,NEUTRAL,1,ZITHER,"{extra_dual_cultivation_exp: 150, shop_buy_price_reduction: 0.1}",SECT_6_RANK_PATRIARCH;SECT_6_RANK_ELDER;SECT_6_RANK_INNER;SECT_6_RANK_OUTER,#E91E63,neutral_secrecy,SECT_6_RULE_DESC
7,SECT_7_NAME,SECT_7_DESC,须弥禅院,须弥禅院立于风暴海中的普渡岛，以金刚塔为中心，伏魔殿、听钟台、苦修崖和药浴池分列四方，钟声一起，整座岛便像被无形佛光镇住。院中有禅修、武修、护法三路，弟子既要习经，也要炼体，还常被派去镇守海域妖邪与接引受难之人。这里外表庄严肃穆，内里却并不死板，许多僧修都带着入世济人的愿心，因此宗门气质兼有慈悲与刚猛两面。,buddhism,SECT_7_STYLE,RIGHTEOUS,1,STAFF,"{extra_max_hp: 100, damage_reduction: 0.15}",SECT_7_RANK_PATRIARCH;SECT_7_RANK_ELDER;SECT_7_RANK_INNER;SECT_7_RANK_OUTER,#FFC107,righteous_orthodoxy,SECT_7_RULE_DESC
8,SECT_8_NAME,SECT_8_DESC,影煞殿,影煞殿潜伏于暗影沼泽深处，树冠之上有隐楼，泥沼之下有密道，影牢、匿形场、毒瘴潭与情报据点层层交错，外人极难真正摸清它的轮廓。殿中弟子多分潜刺、遁行、侦缉与收尸善后几路，从入门起便学习隐匿踪迹、切断痕迹与在绝境中脱身。这里几乎没有多余的温情，人人都习惯观察和怀疑，但也因此形成一种只在生死边缘才会显露的默契。,,SECT_8_STYLE,EVIL,1,SABER,"{extra_escape_success_rate: 0.4, extra_assassinate_success_rate: 0.15}",SECT_8_RANK_PATRIARCH;SECT_8_RANK_ELDER;SECT_8_RANK_INNER;SECT_8_RANK_OUTER,#607D8B,evil_sect_loyalty,SECT_8_RULE_DESC
9,SECT_9_NAME,SECT_9_DESC,万宝仙盟,万宝仙盟建立于多宝浮空岛群之上，拍卖殿、千炉塔、云舟港、总库与各类商行彼此贯通，飞舟昼夜不停，整座山门更像一座永不歇业的仙城。盟中修士既修炼也经商，分炼器、鉴宝、航运、账务与外贸诸系，许多弟子从小就要学会估价、议价、立契与维护商路。这里最重流通与效率，人人都明白资源如何转化为权势，因此气氛远比寻常宗门更现实，也更讲究秩序和信誉。,,SECT_9_STYLE,NEUTRAL,1,SPEAR,"{extra_item_sell_price_multiplier: 0.05, extra_weapon_upgrade_chance: 0.15, extra_cast_success_rate: 0.05, shop_buy_price_reduction: 0.05}",SECT_9_RANK_PATRIARCH;SECT_9_RANK_ELDER;SECT_9_RANK_INNER;SECT_9_RANK_OUTER,#FF9800,neutral_secrecy,SECT_9_RULE_DESC
10,SECT_10_NAME,SECT_10_DESC,摄魂音宗,摄魂音宗盘踞回音谷中，琴楼、鼓台、试音廊与摄魂阵场顺着山势铺开，谷风一过，连最细微的弦声都能被放大成夺魄杀机。门内分幻音、杀音、镇魂三支，弟子要学的不只是乐理与术法，还包括节奏、呼吸、情绪引导和神魂控制。这里表面风雅，实则气氛极度危险，许多人终日以笑语和琴声试探彼此心境，因此宗门里最可怕的往往不是怒意，而是温柔地落下的那一段曲子。,,SECT_10_STYLE,EVIL,1,ZITHER,"{extra_escape_success_rate: 0.5, extra_misfortune_probability: -0.005}",,#9C27B0,evil_sect_loyalty,SECT_10_RULE_DESC
11,SECT_11_NAME,SECT_11_DESC,天衍阵宗,天衍阵宗坐落于迷踪天，一峰之内暗藏无数折叠空间，演天台、万阵廊、试阵谷与地脉井层层嵌套，弟子若不懂阵图，连回自己的住处都可能走错。宗内大致分天演、地脉、器阵、守御诸路，人人都习惯以推演结果说话，从布一座小阵到改一方山河都讲求精确与秩序。这里最吸引那些痴迷结构与规律的人，也最容易养出把人情世故都视作变量来计算的冷峻阵师。,,SECT_11_STYLE,RIGHTEOUS,1,HIDDEN_WEAPON,"{respire_duration_reduction: 0.1, extra_fortune_probability: 0.005}",,#2196F3,righteous_orthodoxy,SECT_11_RULE_DESC
12,SECT_12_NAME,SECT_12_DESC,长明宫,长明宫位于极北永夜中的极光天境，长明殿、圣火坛、洗髓池与曜甲校场常年被极光照亮，冰与火并存，使整座宫城带着近乎神迹般的庄严。宫中修士多走炼体、护命、长生三系，既重拳脚兵刃，也重药浴、秘术与对生命本源的体悟。这里崇尚光明、坚忍与持久，门人往往有极强的责任感和自制力，但也容易把自己活成一盏不肯熄灭的灯，习惯在沉默中独自承担一切。,wu,SECT_12_STYLE,RIGHTEOUS,1,STAFF,"{extra_hp_recovery_rate: 0.5, extra_max_lifespan: 20}",SECT_12_RANK_PATRIARCH;SECT_12_RANK_ELDER;SECT_12_RANK_INNER;SECT_12_RANK_OUTER,#FFF176,righteous_orthodoxy,SECT_12_RULE_DESC
13,SECT_13_NAME,SECT_13_DESC,浩然书院,浩然书院坐落于圣贤林中，讲经堂、明法殿、碑林书库和问心石径散布林间，晨钟未起便已书声琅琅，来往弟子多衣冠整肃、言谈克制。院中分经义、法理、治世、辞章诸系，不只读书养气，也论政、辩理、修身、授徒，许多大儒一生都在追求言行合一。这里最看重风骨、名节与师道传承，因而既能孕育胸怀天下的君子，也容易诞生坚持己见、不肯轻易低头的执拗人物。,confucianism,SECT_13_STYLE,RIGHTEOUS,1,SWORD,"{realm_suppression_bonus: 0.15, extra_educate_efficiency: 0.2, extra_educate_population_prob: 0.1}",,#A1887F,righteous_orthodoxy,SECT_13_RULE_DESC
14,SECT_14_NAME,SECT_14_DESC,罗刹血宗,罗刹血宗盘踞修罗血池之上，血河祭坛、战功堂、炼骨窟与夺元台昼夜不停运转，空气里常年弥漫着血雾、药气和铁锈味。宗内大致分血战、祭修、掠夺、炼体数脉，资源分配往往直接与战果、供奉和个人凶名挂钩，强者可以迅速崛起，弱者也会被迅速吞没。这里崇尚最赤裸的力量秩序，门人多半桀骜狠厉，却也因此形成一种只承认实力、不相信空话的残酷真实。,,SECT_14_STYLE,EVIL,1,SABER,"{extra_plunder_multiplier: 2.0, extra_battle_strength_points: 2}",,#E57373,evil_sect_loyalty,SECT_14_RULE_DESC
